ID;Year;DOY;UTC;C;SPDm/s;GSTm/s;Dir
4;2013;365;2350;-10.58;1.86;2.74;280
4;2013;365;2355;-10.49;2.26;3.63;278
4;2014;001;0000;-10.36;2.40;3.82;283
4;2014;001;0005;-10.29;2.17;3.14;297
4;2014;001;0010;-10.36;2.53;3.43;317
4;2014;001;0015;-10.36;2.24;3.14;311
4;2014;001;0020;-10.38;2.66;3.82;303
4;2014;001;0025;-10.49;2.69;3.72;308
4;2014;001;0030;-10.43;2.27;3.82;311
4;2014;001;0035;-10.23;2.69;3.53;294
4;2014;001;0040;-10.38;3.28;4.51;279
4;2014;001;0045;-10.40;3.26;4.12;295
4;2014;001;0050;-10.35;2.98;4.21;284
4;2014;001;0055;-10.34;2.80;3.63;286
4;2014;001;0100;-10.28;2.86;3.72;278
4;2014;001;0105;-10.23;2.75;3.63;287
4;2014;001;0110;-10.22;2.96;4.12;290
4;2014;001;0115;-10.28;2.96;4.02;288
4;2014;001;0120;-10.29;3.84;4.61;286
4;2014;001;0125;-10.24;3.67;5.00;287
4;2014;001;0130;-10.24;3.78;4.90;283
4;2014;001;0135;-10.29;3.90;5.39;292
4;2014;001;0140;-10.24;3.72;4.70;296
4;2014;001;0145;-10.13;3.94;5.39;294
4;2014;001;0150;-10.24;4.50;5.88;293
4;2014;001;0155;-10.18;3.98;5.29;283
4;2014;001;0200;-10.34;4.55;5.68;281
4;2014;001;0205;-10.34;4.26;5.59;285
4;2014;001;0210;-10.27;4.06;5.39;284
4;2014;001;0215;-10.32;4.58;5.98;283
4;2014;001;0220;-10.34;4.01;5.00;278
4;2014;001;0225;-10.26;4.17;5.10;282
4;2014;001;0230;-10.34;4.46;5.49;298
4;2014;001;0235;-10.33;4.13;6.27;299
4;2014;001;0240;-10.38;3.58;4.70;292
4;2014;001;0245;-10.31;3.33;4.61;287
4;2014;001;0250;-10.17;3.87;4.70;306
4;2014;001;0255;-10.21;4.03;5.29;317
4;2014;001;0300;-10.28;4.22;5.00;327
4;2014;001;0305;-10.25;3.55;4.41;316
4;2014;001;0310;-10.22;3.85;4.80;319
4;2014;001;0315;-10.26;4.22;5.98;319
4;2014;001;0320;-10.27;4.47;5.49;332
4;2014;001;0325;-10.22;4.50;5.68;336
4;2014;001;0330;-10.18;4.99;6.27;330
4;2014;001;0335;-10.17;5.21;6.37;341
4;2014;001;0340;-10.15;5.64;6.66;342
4;2014;001;0345;-10.06;6.04;7.15;348
4;2014;001;0350;-10.02;5.89;7.15;347
4;2014;001;0355;-9.97;5.77;7.06;353
4;2014;001;0400;-9.93;5.97;7.84;353
4;2014;001;0405;-9.85;5.73;7.06;354
4;2014;001;0410;-9.83;5.71;6.86;355
4;2014;001;0415;-9.89;5.51;6.96;347
4;2014;001;0420;-9.77;5.88;7.06;353
4;2014;001;0425;-9.61;6.28;7.35;349
4;2014;001;0430;-9.61;6.41;8.13;352
4;2014;001;0435;-9.35;6.21;9.51;350
4;2014;001;0440;-9.33;6.48;7.94;354
4;2014;001;0445;-9.25;6.65;8.04;356
4;2014;001;0450;-9.19;7.07;8.33;358
4;2014;001;0455;-9.07;6.80;8.04;356
4;2014;001;0500;-8.94;6.57;7.94;359
4;2014;001;0505;-8.86;6.51;7.94;003
4;2014;001;0510;-8.77;6.97;8.62;004
4;2014;001;0515;-8.72;6.87;8.04;003
4;2014;001;0520;-8.70;6.89;8.33;000
4;2014;001;0525;-8.71;7.56;9.02;011
4;2014;001;0530;-8.64;7.01;8.62;011
4;2014;001;0535;-8.46;7.18;8.62;006
4;2014;001;0540;-8.52;7.29;8.33;009
4;2014;001;0545;-8.26;6.57;7.84;005
4;2014;001;0550;-8.15;6.84;8.53;003
4;2014;001;0555;-8.01;6.88;8.23;005
4;2014;001;0600;-7.90;7.26;8.43;006
4;2014;001;0605;-7.88;7.40;8.72;002
4;2014;001;0610;-7.68;7.31;8.92;007
4;2014;001;0615;-7.70;7.33;8.43;005
4;2014;001;0620;-7.47;7.11;8.53;009
4;2014;001;0625;-7.41;6.91;8.53;014
4;2014;001;0630;-7.38;7.50;9.02;013
4;2014;001;0635;-7.21;7.11;8.53;014
4;2014;001;0640;-7.08;7.72;9.11;010
4;2014;001;0645;-7.21;7.65;8.72;011
4;2014;001;0650;-7.12;7.33;8.62;012
4;2014;001;0655;-7.03;7.22;8.62;018
4;2014;001;0700;-6.89;7.19;9.80;016
4;2014;001;0705;-6.83;6.77;8.53;017
4;2014;001;0710;-6.74;6.17;7.84;016
4;2014;001;0715;-6.67;6.56;8.23;018
4;2014;001;0720;-6.61;6.30;8.13;011
4;2014;001;0725;-6.55;7.14;8.62;016
4;2014;001;0730;-6.39;7.12;8.72;022
4;2014;001;0735;-6.36;7.10;9.70;024
4;2014;001;0740;-6.31;7.06;8.43;022
4;2014;001;0745;-6.26;6.65;7.74;035
4;2014;001;0750;-6.21;6.03;7.06;034
4;2014;001;0755;-6.17;6.30;7.55;021
4;2014;001;0800;-6.10;6.58;8.33;024
4;2014;001;0805;-5.94;6.88;8.23;028
4;2014;001;0810;-5.98;6.97;8.62;019
4;2014;001;0815;-5.92;7.06;8.43;033
4;2014;001;0820;-5.98;7.05;8.23;031
4;2014;001;0825;-5.92;6.88;8.62;032
4;2014;001;0830;-5.94;6.56;8.53;030
4;2014;001;0835;-5.82;7.40;9.11;037
4;2014;001;0840;-5.84;7.07;8.33;029
4;2014;001;0845;-5.80;7.18;8.13;035
4;2014;001;0850;-5.76;6.33;7.64;036
4;2014;001;0855;-5.64;6.48;7.35;036
4;2014;001;0900;-5.68;7.27;9.21;037
4;2014;001;0905;-5.75;7.05;8.23;033
4;2014;001;0910;-5.64;6.62;8.33;042
4;2014;001;0915;-5.64;7.33;8.92;042
4;2014;001;0920;-5.67;7.54;8.72;038
4;2014;001;0925;-5.62;6.76;8.53;032
4;2014;001;0930;-5.60;7.74;9.11;036
4;2014;001;0935;-5.58;6.92;9.02;038
4;2014;001;0940;-5.46;6.94;8.04;045
4;2014;001;0945;-5.48;7.69;10.00;038
4;2014;001;0950;-5.42;7.10;8.13;043
4;2014;001;0955;-5.32;7.40;9.02;047
4;2014;001;1000;-5.42;7.15;8.92;052
4;2014;001;1005;-5.31;7.38;8.92;057
4;2014;001;1010;-5.38;6.96;8.62;053
4;2014;001;1015;-5.33;6.43;7.94;049
4;2014;001;1020;-5.21;7.08;8.33;049
4;2014;001;1025;-5.17;6.50;8.23;052
4;2014;001;1030;-5.13;6.98;8.72;049
4;2014;001;1035;-5.13;6.92;9.02;054
4;2014;001;1040;-5.14;7.17;8.62;048
4;2014;001;1045;-5.05;7.48;9.41;047
4;2014;001;1050;-5.00;6.81;9.02;059
4;2014;001;1055;-4.96;7.77;9.21;055
4;2014;001;1100;-4.98;7.09;8.82;059
4;2014;001;1105;-4.94;7.99;10.49;057
4;2014;001;1110;-4.89;7.97;9.41;051
4;2014;001;1115;-4.86;7.98;9.90;053
4;2014;001;1120;-5.08;10.66;12.64;082
4;2014;001;1125;-5.44;10.51;12.74;075
4;2014;001;1130;-5.56;9.82;11.47;078
4;2014;001;1135;-5.55;9.27;11.27;078
4;2014;001;1140;-5.72;9.89;11.27;076
4;2014;001;1145;-5.75;9.61;11.66;076
4;2014;001;1150;-5.91;9.84;11.47;075
4;2014;001;1155;-5.96;9.46;10.88;079
4;2014;001;1200;-5.94;8.98;11.17;072
4;2014;001;1205;-5.97;9.34;11.27;078
4;2014;001;1210;-5.94;9.12;10.29;072
4;2014;001;1215;-6.11;9.17;10.58;079
4;2014;001;1220;-6.17;9.55;10.78;069
4;2014;001;1225;-6.19;8.95;10.78;080
4;2014;001;1230;-6.15;9.24;10.78;079
4;2014;001;1235;-6.26;10.03;12.35;070
4;2014;001;1240;-6.36;9.38;10.98;077
4;2014;001;1245;-6.27;9.94;11.76;076
4;2014;001;1250;-6.18;9.31;11.37;075
4;2014;001;1255;-6.28;9.38;11.07;077
4;2014;001;1300;-6.28;10.65;12.15;074
4;2014;001;1305;-6.34;9.91;11.76;077
4;2014;001;1310;-6.35;9.82;11.96;077
4;2014;001;1315;-6.37;10.04;11.66;081
4;2014;001;1320;-6.32;10.50;13.23;075
4;2014;001;1325;-6.39;10.90;12.84;076
4;2014;001;1330;-6.39;10.36;12.35;080
4;2014;001;1335;-6.35;10.18;12.25;077
4;2014;001;1340;-6.38;10.37;12.74;076
4;2014;001;1345;-6.46;10.36;12.45;070
4;2014;001;1350;-6.43;9.44;12.94;071
4;2014;001;1355;-6.47;10.10;12.25;066
4;2014;001;1400;-6.33;9.74;11.76;067
4;2014;001;1405;-6.44;10.23;13.13;069
4;2014;001;1410;-6.50;10.64;12.45;068
4;2014;001;1415;-6.39;10.43;12.45;063
4;2014;001;1420;-6.44;10.68;12.64;066
4;2014;001;1425;-6.39;10.27;12.35;065
4;2014;001;1430;-6.35;10.02;12.45;068
4;2014;001;1435;-6.34;10.07;11.56;071
4;2014;001;1440;-6.33;10.54;12.94;062
